course_code,course_name,faculty,source_program,source_term,owner_prefix,is_active
MATE-1201,Precálculo,Ciencias,Servicio/Core,2026,MATE,True
MATE-1203,Cálculo Diferencial,Ciencias,Servicio/Core,2026,MATE,True
MATE-1214,Cálculo Integral y Ecuaciones Diferenciales,Ciencias,Servicio/Core,2026,MATE,True
MATE-1207,Cálculo Vectorial,Ciencias,Servicio/Core,2026,MATE,True
MATE-1105,Álgebra Lineal,Ciencias,Servicio/Core,2026,MATE,True
MATE-1252,Cálculo Integral y Probabilidad,Ciencias,Servicio/Core,2026,MATE,True
MATE-1253,Álgebra Lineal y Cálculo 3,Ciencias,Servicio/Core,2026,MATE,True
MATE-1741,Bioestadística,Ciencias,Servicio/Core,2026,MATE,True
DERE-1300,Constitución y Democracia,Derecho,Servicio/Core,2026,DERE,True
QUIM-1103,Química,Ciencias,Servicio/Core,2026,QUIM,True
QUIM-1104,Laboratorio de Química,Ciencias,Servicio/Core,2026,QUIM,True
QUIM-1301,Química Orgánica,Ciencias,Servicio/Core,2026,QUIM,True
QUIM-1302,Laboratorio de Química Orgánica,Ciencias,Servicio/Core,2026,QUIM,True
FISI-1210,Biofísica,Ciencias,Servicio/Core,2026,FISI,True
FISI-1211,Laboratorio de Biofísica,Ciencias,Servicio/Core,2026,FISI,True
ISIS-1001,Introducción a la Ingeniería de Sistemas,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1221,Introducción a la Programación,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1225,Estructuras de datos y algoritmos,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1226,Diseño y Programación Orientada a Objetos,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1311,Tecnologías e Infraestructura de Cómputo,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1511,Fundamentos de Bases de Datos,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-1611,Inteligencia Artificial,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-2011,Productos Digitales Innovadores,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-2111,Elementos Esenciales de Lenguajes de Programación,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-2112,Diseño de Algoritmos,Ingeniería,Ingeniería de Sistemas y Computación,2026-20,ISIS,True
ISIS-2211,Ingeniería de Software Moderna,Ingeniería,Ingeniería de Sistemas y Computación,2025-20/2026-20,ISIS,True
